region 1: cartogram area = 434.003452, relative error = 0.000019
region 2: cartogram area = 62.898228, relative error = -0.000019
region 3: cartogram area = 79.754119, relative error = 0.000044
region 4: cartogram area = 363.650042, relative error = 0.000015
region 5: cartogram area = 83.272214, relative error = -0.000286
region 6: cartogram area = 46.991916, relative error = 0.000145
region 7: cartogram area = 297.234853, relative error = 0.000002
region 8: cartogram area = 116.445384, relative error = 0.000023
region 9: cartogram area = 121.192363, relative error = 0.000043
region 10: cartogram area = 117.075546, relative error = 0.000067
region 11: cartogram area = 167.045342, relative error = -0.000171
region 12: cartogram area = 321.041156, relative error = 0.000030
region 13: cartogram area = 326.654635, relative error = 0.000014
region 14: cartogram area = 173.083972, relative error = 0.000014
region 15: cartogram area = 68.250737, relative error = -0.000004
region 16: cartogram area = 76.900843, relative error = 0.000035
region 17: cartogram area = 58.048810, relative error = 0.000021
region 18: cartogram area = 99.528251, relative error = 0.001234
region 19: cartogram area = 530.072400, relative error = 0.000006
region 20: cartogram area = 44.419376, relative error = 0.000781
region 21: cartogram area = 106.065710, relative error = -0.000038
region 22: cartogram area = 154.006691, relative error = 0.000029
region 23: cartogram area = 108.101938, relative error = 0.000043
region 24: cartogram area = 136.157378, relative error = -0.000003
region 25: cartogram area = 66.174982, relative error = -0.000133
region 26: cartogram area = 125.333609, relative error = -0.000187
region 27: cartogram area = 82.895735, relative error = -0.000605
region 28: cartogram area = 81.673898, relative error = -0.000114
region 29: cartogram area = 138.231840, relative error = 0.000008
region 30: cartogram area = 69.729870, relative error = 0.000126
region 31: cartogram area = 113.562134, relative error = 0.000026
region 32: cartogram area = 81.752772, relative error = -0.002878
region 33: cartogram area = 518.536196, relative error = 0.000000
region 34: cartogram area = 49.568227, relative error = 0.000308
region 35: cartogram area = 421.757696, relative error = 0.000010
region 36: cartogram area = 82.714184, relative error = -0.000035
region 37: cartogram area = 41.777095, relative error = 0.002270
region 38: cartogram area = 219.365464, relative error = -0.000171
region 39: cartogram area = 117.038398, relative error = 0.000001
region 40: cartogram area = 45.654126, relative error = -0.000096
region 41: cartogram area = 772.219061, relative error = 0.000008
region 42: cartogram area = 34.255995, relative error = -0.000187
region 43: cartogram area = 63.654952, relative error = 0.000022
region 44: cartogram area = 58.248808, relative error = 0.000378
region 45: cartogram area = 67.956128, relative error = 0.000048
region 46: cartogram area = 84.389379, relative error = -0.000235
region 47: cartogram area = 50.243465, relative error = 0.001315
