State,Population,GDP,Colour
Hamburg,1787408,117572,#66a61e
Niedersachsen,7926599,287959,#d95f02
Bremen,671489,33662,#7570b3
Nordrhein-Westfalen,17865516,691518,#e7298a
Hessen,6176172,279085,#66a61e
Rheinland-Pfalz,4052803,144308,#e6ab02
Baden-Wuerttemberg,10879618,493265,#d95f02
Bayern,12843514,594447,#7570b3
Saarland,995597,35300,#66a61e
Berlin,3520031,136614,#7570b3
Brandenburg,2484826,69132,#e6ab02
Mecklenburg-Vorpommern,1612362,42783,#1b9e77
Sachsen,4084851,121738,#1b9e77
Sachsen-Anhalt,2245470,60095,#7570b3
Thueringen,2170714,61907,#e6ab02
Schleswig-Holstein,2858714,93367,#e7298a
