"Prefectures","Population","GDP","Colour"
"Aichi","","349244",""
"Akita","","33561",""
"Aomori","","42968",""
"Chiba","","194513",""
"Ehime","","46156",""
"Fukui","","30373",""
"Fukuoka","","175757",""
"Fukushima","","71807",""
"Gifu","","69953",""
"Gunma","","77684",""
"Hiroshima","","109051",""
"Hokkaido","","179372",""
"Hyogo","","192020",""
"Ibaraki","","112685",""
"Ishikawa","","44522",""
"Iwate","","45094",""
"Kagawa","","35635",""
"Kagoshima","","51725",""
"Kanagawa","","294240",""
"Kochi","","22799",""
"Kumamoto","","54341",""
"Kyoto","","97560",""
"Mie","","74296",""
"Miyagi","","86324",""
"Miyazaki","","35355",""
"Nagano","","76534",""
"Naoasaki","","41827",""
"Nara","","34359",""
"Niigata","","84414",""
"Oita","","40200",""
"Okayama","","70289",""
"Okinawa","","39311",""
"Osaka","","368105",""
"Saga","","26562",""
"Saitama","","202950",""
"Shiga","","56727",""
"Shimane","","23117",""
"Shizuoka","","149852",""
"Tochigi","","79406",""
"Tokushima","","29231",""
"Tokyo","","920914",""
"Tottori","","17265",""
"Toyama","","43207",""
"Wakayama","","34730",""
"Yamagata","","36434",""
"Yamaguchi","","57923",""
"Yamanashi","","30263",""
