"Region","Population","GDP","Colour"
"Adygey","","3439",""
"Altay","","19766",""
"Amur","","10388",""
"Arkhangel'sk","","23836",""
"Astrakhan'","","12751",""
"Bashkortostan","","55110",""
"Belgorod","","27334",""
"Bryansk","","10725",""
"Buryat","","8156",""
"Chechnya","","6235",""
"Chelyabinsk","","43815",""
"Chukot","","2496",""
"Chuvash","","10375",""
"City of St. Petersburg","","117035",""
"Dagestan","","23757",""
"Gorno-Altay","","NA",""
"Ingush","","2302",""
"Irkutsk","","40044",""
"Ivanovo","","6666",""
"Kabardin-Balkar","","5213",""
"Kaliningrad","","13514",""
"Kalmyk","","2032",""
"Kaluga","","14340",""
"Kamchatka","","6417",""
"Karachay-Cherkess","","3054",""
"Karelia","","8192",""
"Kemerovo","","32983",""
"Khabarovsk","","24240",""
"Khakass","","7080",""
"Khanty-Mansiy","","124714",""
"Kirov","","11048",""
"Komi","","21221",""
"Kostroma","","6457",""
"Krasnodar","","79083",""
"Krasnoyarsk","","62808",""
"Kurgan","","7456",""
"Kursk","","13126",""
"Leningrad","","31507",""
"Lipetsk","","17462",""
"Maga Buryatdan","","4281",""
"Mariy-El","","6361",""
"Mordovia","","7542",""
"Moscow City","","565242",""
"Moskva","","119397",""
"Murmansk","","14134",""
"Nenets","","8107",""
"Nizhegorod","","44940",""
"North Ossetia","","5597",""
"Novgorod","","9088",""
"Novosibirsk","","39509",""
"Omsk","","26430",""
"Orel","","7932",""
"Orenburg","","32272",""
"Penza","","13136",""
"Perm'","","42712",""
"Primor'ye","","28396",""
"Pskov","","5353",""
"Rostov","","44141",""
"Ryazan'","","13121",""
"Sakha","","29132",""
"Sakhalin","","35016",""
"Samara","","50836",""
"Saratov","","24813",""
"Smolensk","","10359",""
"Stavropol'","","23883",""
"Sverdlovsk","","73319",""
"Tambov","","12172",""
"Tatarstan","","73759",""
"Tomsk","","18891",""
"Tula","","18026",""
"Tuva","","2061",""
"Tver'","","13565",""
"Tyumen'","","228527",""
"Udmurt","","19504",""
"Ul'yanovsk","","12314",""
"Vladimir","","14470",""
"Volgograd","","31555",""
"Vologda","","17140",""
"Voronezh","","31291",""
"Yamal-Nenets","","71118",""
"Yaroslavl'","","17128",""
"Yevrey","","1842",""
"Zabaykal'ye","","10043",""
